label,score
split,0.840443
split,0.818926
split,0.590138
split,0.913605
split,0.91318
split,0.905006
split,0.901458
split,0.899466
split,0.897743
split,0.888019
split,0.882456
split,0.873577
split,0.868667
split,0.836729
split,0.665493
split,0.903782
split,0.903296
split,0.901914
split,0.896957
split,0.893923
split,0.89152
split,0.888507
split,0.881395
split,0.872393
split,0.867988
split,0.29138
split,0.910336
split,0.903164
split,0.898742
split,0.891298
split,0.882753
split,0.882382
split,0.880166
split,0.868089
split,0.85893
split,0.853084
split,0.830332
split,0.913146
split,0.892217
split,0.89184
split,0.891807
split,0.889197
split,0.887491
split,0.883403
split,0.878627
split,0.859893
split,0.845174
split,0.835177
split,0.437149
split,0.908896
split,0.896927
split,0.894751
split,0.893477
split,0.887987
split,0.853443
split,0.84979
split,0.849114
split,0.839626
split,0.833169
split,0.632905
split,0.296569
split,0.913656
split,0.8964
split,0.896265
split,0.895877
split,0.888527
split,0.882361
split,0.878572
split,0.876783
split,0.811025
split,0.647496
split,0.370067
split,0.903149
split,0.901521
split,0.901379
split,0.900137
split,0.889022
split,0.885116
split,0.871124
split,0.863603
split,0.62328
split,0.92113
split,0.916929
split,0.906816
split,0.896296
split,0.892404
split,0.890252
split,0.887636
split,0.885471
split,0.881666
split,0.868251
split,0.668021
split,0.903012
split,0.902687
split,0.894019
split,0.893486
split,0.893281
split,0.893006
split,0.892022
split,0.884219
split,0.866623
split,0.932077
split,0.909063
split,0.903873
split,0.901232
split,0.895965
split,0.889635
split,0.886389
split,0.881625
split,0.87372
split,0.869169
split,0.84574
split,0.921311
split,0.910842
split,0.910131
split,0.908235
split,0.895801
split,0.892864
split,0.871916
split,0.869895
split,0.867993
split,0.315142
split,0.913602
split,0.90387
split,0.895913
split,0.889511
split,0.885948
split,0.884194
split,0.872744
split,0.870832
split,0.826857
split,0.524949
split,0.910574
split,0.904262
split,0.901037
split,0.886233
split,0.728741
split,0.890815
split,0.883321
split,0.866885
split,0.860565
split,0.786269
split,0.53319
split,0.869458
split,0.867319
split,0.367692
split,0.898113
split,0.881787
split,0.874865
split,0.873604
split,0.800528
split,0.644065
split,0.450427
split,0.896564
split,0.89012
split,0.878422
split,0.868355
split,0.920573
split,0.90922
split,0.905552
split,0.904622
split,0.872328
split,0.870099
split,0.843139
split,0.536988
split,0.931562
split,0.914377
split,0.90013
split,0.900017
split,0.89196
split,0.873023
split,0.921519
split,0.89962
split,0.898486
split,0.89701
split,0.884461
split,0.877374
split,0.913858
split,0.902084
split,0.891173
split,0.883219
split,0.852844
split,0.843402
split,0.887433
split,0.881841
split,0.881254
split,0.852571
split,0.898741
split,0.891551
split,0.889643
split,0.880911
split,0.783881
split,0.687802
split,0.880083
split,0.868147
split,0.841652
split,0.839486
split,0.857395
split,0.818732
split,0.751081
split,0.633128
split,0.476611
split,0.280376
split,0.901345
split,0.88853
split,0.883049
split,0.87911
split,0.875684
split,0.861086
split,0.924368
split,0.895547
split,0.880915
split,0.872184
split,0.856485
split,0.606698
split,0.903517
split,0.862312
split,0.848646
split,0.79265
split,0.791112
split,0.709795
split,0.912965
split,0.896122
split,0.876036
split,0.82885
split,0.823494
split,0.735998
split,0.902996
split,0.872807
split,0.778796
split,0.757051
split,0.435584
split,0.906359
split,0.901717
split,0.899522
split,0.897903
split,0.880002
split,0.863801
split,0.891155
split,0.883111
split,0.88111
split,0.869841
split,0.717044
split,0.904609
split,0.896434
split,0.895852
split,0.862432
split,0.821032
split,0.698441
split,0.899936
split,0.897042
split,0.465303
split,0.87747
split,0.877423
split,0.875015
split,0.760068
split,0.62303
split,0.523386
split,0.88719
split,0.882426
split,0.852588
split,0.805639
split,0.716383
split,0.455642
split,0.900928
split,0.887436
split,0.884844
split,0.860062
split,0.817648
split,0.513817
split,0.880007
split,0.876322
split,0.868569
split,0.828506
split,0.825453
split,0.823234
split,0.882524
split,0.87985
split,0.878985
split,0.862981
split,0.814518
split,0.796964
split,0.898387
split,0.881672
split,0.879393
split,0.863446
split,0.744836
split,0.648664
split,0.892796
split,0.888884
split,0.888666
split,0.884985
split,0.772008
split,0.654942
split,0.919691
split,0.900654
split,0.884531
split,0.883677
split,0.878259
split,0.862516
split,0.597447
split,0.572969
split,0.900646
split,0.899365
split,0.885911
split,0.862716
split,0.847319
split,0.567656
split,0.900776
split,0.896079
split,0.893812
split,0.886845
split,0.880748
split,0.858211
split,0.891934
split,0.815758
split,0.779227
split,0.768957
split,0.692511
split,0.640469
split,0.91173
split,0.860366
split,0.826669
split,0.779335
split,0.740141
split,0.720872
split,0.32324
split,0.906338
split,0.898929
split,0.896709
split,0.854062
split,0.706783
split,0.413583
split,0.361286
split,0.912306
split,0.877044
split,0.87385
split,0.861784
split,0.860429
split,0.829464
split,0.902661
split,0.900395
split,0.897882
split,0.894611
split,0.876852
split,0.86881
split,0.912589
split,0.909613
split,0.880165
split,0.877453
split,0.872563
split,0.831759
split,0.902662
split,0.893122
split,0.887265
split,0.885263
split,0.847535
split,0.827449
split,0.892373
split,0.89213
split,0.887231
split,0.874234
split,0.682663
split,0.578046
split,0.891242
split,0.885444
split,0.874633
split,0.874578
split,0.634479
split,0.614188
split,0.883025
split,0.872893
split,0.86728
split,0.858319
split,0.721718
split,0.864251
split,0.621363
split,0.577865
split,0.888125
split,0.881239
split,0.881154
split,0.860248
split,0.659298
split,0.885536
split,0.879036
split,0.838636
split,0.758308
split,0.891587
split,0.864801
split,0.830016
split,0.737866
split,0.370522
split,0.913448
split,0.865158
split,0.464195
split,0.832833
split,0.831184
split,0.803704
split,0.533455
split,0.894508
split,0.892127
split,0.886695
split,0.836031
split,0.895471
split,0.857458
split,0.836813
split,0.831867
split,0.604746
split,0.399409
split,0.903838
split,0.897307
split,0.890882
split,0.886415
split,0.807766
split,0.793431
split,0.877362
split,0.865823
split,0.848502
split,0.819456
split,0.714185
split,0.682341
split,0.884984
split,0.8785
split,0.863221
split,0.849491
split,0.291202
split,0.88965
split,0.880187
split,0.875888
split,0.860143
split,0.856955
split,0.480945
split,0.883529
split,0.862074
split,0.859302
split,0.797216
split,0.50486
split,0.893438
split,0.858379
split,0.809088
split,0.803493
split,0.865097
split,0.862216
split,0.850815
split,0.802031
split,0.70715
split,0.890765
split,0.879033
split,0.872182
split,0.754449
split,0.894005
split,0.859796
split,0.858902
split,0.598057
split,0.415529
split,0.894276
split,0.877425
split,0.87132
split,0.852506
split,0.813817
split,0.892792
split,0.889221
split,0.887927
split,0.866817
split,0.864883
split,0.711076
split,0.909458
split,0.871692
split,0.853734
split,0.850236
split,0.616677
split,0.885497
split,0.873426
split,0.847048
split,0.763798
split,0.386634
split,0.88582
split,0.86039
split,0.856164
split,0.832416
split,0.822243
split,0.651836
split,0.881074
split,0.877722
split,0.870654
split,0.870054
split,0.891199
split,0.876455
split,0.870602
split,0.861462
split,0.826002
split,0.823241
split,0.891745
split,0.887412
split,0.863184
split,0.838806
split,0.833059
split,0.725009
split,0.890852
split,0.878589
split,0.876717
split,0.872295
split,0.885943
split,0.883648
split,0.876887
split,0.869738
split,0.480396
split,0.887478
split,0.884213
split,0.87353
split,0.848644
split,0.917335
split,0.897046
split,0.889569
split,0.874808
split,0.856954
split,0.802652
split,0.895496
split,0.887382
split,0.860706
split,0.816799
split,0.753239
split,0.660707
split,0.876466
split,0.863095
split,0.859618
split,0.81915
split,0.75609
split,0.705812
split,0.883085
split,0.875107
split,0.864106
split,0.841872
split,0.780036
split,0.733599
split,0.898179
split,0.89448
split,0.886448
split,0.870771
split,0.887307
split,0.870161
split,0.86903
split,0.864765
split,0.899386
split,0.892378
split,0.713848
split,0.687018
split,0.646275
split,0.59343
split,0.864965
split,0.856314
split,0.837847
split,0.508788
split,0.865827
split,0.84789
split,0.845416
split,0.787103
split,0.869244
split,0.864319
split,0.841664
split,0.699678
split,0.612013
split,0.910154
split,0.86531
split,0.864143
split,0.840995
split,0.797744
split,0.786173
split,0.881878
split,0.852767
split,0.834753
split,0.810931
split,0.780111
split,0.46374
split,0.875246
split,0.87288
split,0.867741
split,0.866915
split,0.892323
split,0.855968
split,0.835023
split,0.660729
split,0.873415
split,0.872894
split,0.793844
split,0.669755
split,0.903848
split,0.883768
split,0.883722
split,0.85929
split,0.474695
split,0.8715
split,0.85102
split,0.850026
split,0.8443
